ID,Name
NEW_CALEDONIA,New Caledonia
TUVALU,Tuvalu
FRENCH_POLYNESIA,French Polynesia
TOKELAU,Tokelau
MICRONESIA,Micronesia
MARSHALL_ISLANDS,Marshall Islands
RUSSIA,Russia
KAZAKHSTAN,Kazakhstan
ABKHAZIA,Abkhazia
SOUTH_OSSETIA,South Ossetia
JAPAN,Japan
SOUTH_KOREA,South Korea
VIETNAM,Vietnam
NORTH_KOREA,North Korea
HONG_KONG,Hong Kong
MACAU,Macau
CAMBODIA,Cambodia
LAOS,Laos
CHINA,China
BANGLADESH,Bangladesh
TAIWAN,Taiwan
TURKEY,Turkey
NORTHERN_CYPRUS,Northern Cyprus
INDIA,India
PAKISTAN,Pakistan
AFGHANISTAN,Afghanistan
SRI_LANKA,Sri Lanka
MYANMAR,Myanmar
MALDIVES,Maldives
LEBANON,Lebanon
JORDAN,Jordan
SYRIA,Syria
IRAQ,Iraq
KUWAIT,Kuwait
SAUDI_ARABIA,Saudi Arabia
YEMEN,Yemen
OMAN,Oman
PALESTINE,Palestine
UAE,United Arab Emirates
ISRAEL,Israel
BAHRAIN,Bahrain
QATAR,Qatar
BHUTAN,Bhutan
MONGOLIA,Mongolia
NEPAL,Nepal
IRAN,Iran
TAJIKISTAN,Tajikistan
TURKMENISTAN,Turkmenistan
AZERBAIJAN,Azerbaijan
GEORGIA,Georgia
KYRGYZSTAN,Kyrgyzstan
UZBEKISTAN,Uzbekistan
